"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond"
"17" 1 16 160 43.9819549306899 67.3785613934631 -28.3377979893065 28.7644687856588 6.90098968393156 19.5031381791698 476.5 1 "Sti" "P2"
"18" 1 17 170 96.059617479831 47.8246476644853 -57.1571987436194 57.1571987436194 0.112667170323363 47.4580532039905 489.6875 1 "Sti" "P2"
"19" 1 18 180 152.813785910892 39.3199818746131 -42.6785075321559 42.6785075321559 -4.42730316286645 41.9146653098769 520.045454545455 1 "Sti" "P2"
"20" 1 19 190 179.715954145442 64.4907789115429 -22.7021487666478 22.7021487666478 -1.06473803654467 29.0788256499525 510.333333333333 1 "Sti" "P2"
"21" 1 20 200 196.55400191271 68.121120840409 -20.1074442074641 20.1074442074641 1.74491393363107 16.5653708523143 522.909090909091 1 "Sti" "P2"
"22" 1 21 210 236.633156342123 67.8501456644735 -49.49561699685 49.49561699685 1.76888349654459 50.1981370869926 458.722222222222 1 "Sti" "P2"
"23" 1 22 220 276.653306014269 71.717180124446 -28.2700265339377 28.2700265339377 -2.981702901311 25.726860056045 541.545454545455 1 "Sti" "P2"
"3061" 2 16 160 46.0202024405144 177.508979114178 -33.9043741163947 33.9043741163947 7.86060883211841 14.3819800679922 385.227272727273 1 "Sti" "P2"
"3062" 2 17 167.5 82.4256580377123 185.647131484181 -78.8782920746849 78.8782920746849 16.7016795102108 47.5278646565 341 1 "Sti" "P2"
"3063" 2 19 189 131.046528798153 196.470905522837 -53.2147686462985 53.2147686462985 3.39853109649214 39.4672008233855 361.25 1 "Sti" "P2"
"317" 1 316 3160 43.461057980047 79.7622778237184 -25.2282110502921 26.611763507669 6.14633518781974 10.8047542570505 465.636363636364 2 "Sti" "P2"
"318" 1 317 3170 97.0605952112182 47.3661547513664 -55.5170527601768 55.5170527601768 -1.83848469876655 35.7714674388485 374.222222222222 2 "Sti" "P2"
"319" 1 318 3180 133.023239123307 27.6174708277758 -13.2082503640234 13.8417598384185 -3.73058266309593 12.0033425730199 490.409090909091 2 "Sti" "P2"
"320" 1 319 3190 137.48841845804 26.6780916769083 -9.63723978715876 9.63723978715876 1.14500412138193 10.3866437258523 320.722222222222 2 "Sti" "P2"
"321" 1 320 3200 169.036584786658 43.4375714917653 -53.6353614580554 53.6353614580554 2.85536344594703 57.6233390436877 434.681818181818 2 "Sti" "P2"
"322" 1 321 3210 203.879676392393 57.1497006255836 -8.40804691922983 8.40804691922983 -3.69594255335215 7.36165426950123 408.388888888889 2 "Sti" "P2"
"323" 1 322 3220.5 212.979423791433 38.534587435911 -16.4759660943265 16.4759660943265 0.50989169008804 14.5405819166613 552.5 2 "Sti" "P2"
"3182" 2 316 3160 373.867863231196 187.864082043692 5.30435836712934 5.74159390809098 -0.585425370811322 5.96503446915113 407.227272727273 2 "Sti" "P2"
"3183" 2 317 3170 366.481738486477 186.515861252246 4.22621196793938 7.26231914160775 -0.30387328867937 7.88368083120702 436.611111111111 2 "Sti" "P2"
"3184" 2 318 3176.66666666667 373.085159767425 194.166065835396 0.57433270388168 2.46396535054242 2.08600302049558 2.05817431637769 318.166666666667 2 "Sti" "P2"
"3185" 2 319 3191.5 363.856026026109 178.927541865541 -8.95603497144612 9.16048908743028 1.67987260438781 5.3986997846194 418.583333333333 2 "Sti" "P2"
"3186" 2 320 3200 379.067793451832 162.289584197281 -5.75888098280774 9.44955083728854 -2.09444147213941 5.68314537505421 275.727272727273 2 "Sti" "P2"
"3187" 2 321 3210 381.954496902124 156.525909720797 -2.75365215046378 3.86319903382361 -0.791817676324229 2.12297172036483 272.666666666667 2 "Sti" "P2"
"3188" 2 322 3220 379.633889965933 164.689430268833 7.34310048380644 7.34310048380644 -0.43246305284697 1.76010289249791 436.681818181818 2 "Sti" "P2"
"617" 1 616 6160 40.4768777501513 84.5621746877241 0.617651449270483 2.3383245909322 -0.539220874952896 6.85471031398508 505.590909090909 3 "Sti" "P2"
"618" 1 617 6170 34.9367066958282 85.474385618714 12.9851509579744 12.9851509579744 -1.07830411443308 14.1998978922051 475.888888888889 3 "Sti" "P2"
"619" 1 618 6180 22.964467464485 70.8085587472577 -13.8861443154676 22.9269826555819 6.94467214630616 13.9501307466956 461.409090909091 3 "Sti" "P2"
"620" 1 619 6190 69.5776853412217 40.3820869259765 -50.0396826417062 50.0396826417062 -0.133396993354964 29.3142888163445 458.166666666667 3 "Sti" "P2"
"621" 1 620 6200 123.526868606161 41.6629889292305 -63.3995775318432 63.3995775318432 -0.507223821525869 61.0498528439267 485.5 3 "Sti" "P2"
"622" 1 621 6210 165.497710109962 45.2268248351151 -16.5919622985335 16.5919622985335 -3.67226555140996 17.8952332376813 461.055555555556 3 "Sti" "P2"
"623" 1 622 6220 180.472368973619 52.1415331184589 -31.6090454012171 31.6090454012171 4.82255118742347 32.4301760276341 494.909090909091 3 "Sti" "P2"
"3307" 2 617 6166.5 132.738799609951 193.515451628285 -32.678354419271 32.678354419271 19.2370727640856 17.1342945966971 311.5 3 "Sti" "P2"
"3308" 2 619 6194 195.423048869438 197.167031363968 -16.1519456850968 16.1519456850968 -0.109785835869843 10.0135019383502 457 3 "Sti" "P2"
"3309" 2 620 6198.5 216.317397575811 191.775281835334 -83.8629184222025 83.8629184222025 -9.29242004776185 62.6140099192865 349.3125 3 "Sti" "P2"
