"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "ret" "pck" "expe" "cond" "plong"
"117...1" "1" 116 1160.5 56.5946430184264 43.0910124209144 59.2496188846606 44.1786824069713 -2.89749361301847 26.0381551414374 1.35307046479677 29.1645674530796 382.6 "1" "Sti" "4" "2" "9" "CT" 65
"118...2" "1" 117 1169.5 101.649001941312 65.5953428424907 109.329644216929 66.848982826335 -7.78814886913966 69.9877396133457 4.25188224161241 74.244362520099 355.9375 "1" "Sti" "4" "2" "9" "CT" 65
"119...3" "1" 118 1180 176.40743150459 86.5911720838179 173.03626144828 85.7701539886278 -4.22709676522251 37.9865553029022 -9.09439333267545 37.2890001343642 352.954545454545 "1" "Sti" "4" "2" "9" "CT" 65
"120...4" "1" 119 1190 187.449090979576 90.9522006388151 191.902089522252 92.7106485555666 -2.91029672073491 26.1532095123998 4.32933448839131 29.558538340888 319.166666666667 "1" "Sti" "4" "2" "9" "CT" 65
"121...5" "1" 120 1200.3 225.77757535552 104.933181248078 224.61997165183 104.085184477135 -2.84862655244319 25.5990141891164 -2.09161457134411 24.351558678321 181.25 "1" "Sti" "4" "2" "9" "CT" 65
"122...6" "1" 121 1210 247.370229865377 96.6684721688617 253.168307759442 97.92462294235 -5.03199033646211 45.2196838199481 4.80384228029806 40.2444987888269 227.166666666667 "1" "Sti" "4" "2" "9" "CT" 65
"123...7" "1" 122 1220 317.047848245063 104.680069551807 320.636322018262 102.986409476913 -8.61614153476669 77.4284467771863 -0.699490714300168 74.8029610848653 189.818181818182 "1" "Sti" "4" "2" "9" "CT" 65
"417...8" "1" 416 4160 20.8229779339168 31.804648910567 24.4309465982922 32.98217405096 -1.43410385854971 22.9913526040281 7.97850980670639 19.3068336007563 216.181818181818 "2" "Sti" "4" "2" "9" "CT" 65
"418...9" "1" 417 4170 71.9677498885911 43.9473347342066 79.1609216551907 45.0522570926217 -9.02121111007725 81.0685805802855 4.18656440301734 75.1955839621038 279.555555555556 "2" "Sti" "4" "2" "9" "CT" 65
"419...10" "1" 418 4180 149.839255956668 54.610449125948 149.491100647687 54.1244928220711 -5.34580750349791 48.0397832481613 -4.79934622541099 46.9522944990335 371.636363636364 "2" "Sti" "4" "2" "9" "CT" 65
