"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "day" "expe" "plong" "y2" "x2"
"127" 1 126 1260 38.6271919651034 68.5600770033602 -4.65146377190561 41.077463921208 8.83931973001143 16.1564927075851 291.954545454545 1 "Sti" "G2C" 4 7 25 37 NA NA
"128" 1 127 1270 115.953473237567 44.2425175823132 -10.1433770747487 89.5770076387156 0.608740544053887 83.252512211132 260.555555555556 1 "Sti" "G2C" 4 7 25 37 NA NA
"129" 1 128 1280 206.390282022876 55.6189023654093 -9.57623167015686 84.5684993416262 -1.76492406579172 81.5865688812803 270.363636363636 1 "Sti" "G2C" 4 7 25 37 NA NA
"130" 1 129 1290 276.254549840795 47.5358178853447 -6.90292164656302 60.9602759028803 -1.2881903590083 58.8895014730698 283.833333333333 1 "Sti" "G2C" 4 7 25 37 NA NA
"131" 1 130 1300 342.113063639354 48.8418510659581 -7.32572068270077 64.694049399681 -1.73737283857838 65.5355478836079 328.909090909091 1 "Sti" "G2C" 4 7 25 37 NA NA
"132" 1 131 1310 385.322223186113 59.9828404091896 -1.54394530963786 15.9426144991668 -5.76182020299905 16.6318438389955 325.333333333333 1 "Sti" "G2C" 4 7 25 37 NA NA
"133" 1 132 1320 381.601255180261 74.7572431794136 0.410679773499554 6.86019026447127 2.04583296378996 4.48008007216401 328 1 "Sti" "G2C" 4 7 25 37 NA NA
"427" 1 426 4260 34.8159398953614 80.5412530502585 -2.71073636367403 23.9632809690135 6.52867781167087 5.66526532463226 315.454545454545 2 "Sti" "G2C" 4 7 25 37 NA NA
"428" 1 427 4270 94.0185752538597 56.7910647261611 -8.71310665536181 76.9461704590752 1.11109499966983 48.1939010445946 320.5 2 "Sti" "G2C" 4 7 25 37 NA NA
"429" 1 428 4280 167.1246916973 42.6018230508295 -7.69970096877705 67.9967004492984 -0.292649249154351 65.7843170841225 292.181818181818 2 "Sti" "G2C" 4 7 25 37 NA NA
