"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "day" "expe" "plong"
"73" 1 72 720 128.62272431284 85.6178829519385 -1.14634289781872 9.94031506658141 -0.143816409244337 7.74087088697931 455.136363636364 1 "Sti" "VC" 6 11 36 41
"74" 1 73 730 135.949646539897 65.6061660070785 -0.797714610503559 6.91724489828403 1.77583119614596 6.01836931398549 321.611111111111 1 "Sti" "VC" 6 11 36 41
"75" 1 74 739.444444444444 171.164546655517 55.5869144897154 -10.0365156165077 87.0299171291485 9.69653330354012 83.8412151683966 444.666666666667 1 "Sti" "VC" 6 11 36 41
"76" 1 75 750 267.258685823815 63.6702402652798 -8.32011485863218 72.1464434789286 -4.17304238377113 69.6917351246525 480.333333333333 1 "Sti" "VC" 6 11 36 41
"77" 1 76 760.375 339.817973371755 55.2201775281029 -7.76276029600711 67.3134393517761 -2.17805044565739 67.0703082863652 493.25 1 "Sti" "VC" 6 11 36 41
"78" 1 77 770 374.974618884775 65.8785836721988 -0.85410503339432 8.92697098654878 -5.69084539434965 9.39516161003826 482.5 1 "Sti" "VC" 6 11 36 41
"79" 1 78 780 375.339911927181 65.9964706776627 -0.0551781713464947 1.98028062771016 -0.102772335305872 3.38650917253716 467.2 1 "Sti" "VC" 6 11 36 41
"80" 1 79 790 373.982926742919 83.3739465894507 0.568664124267642 6.85669940756975 -2.02134337291903 6.47332676501293 444.5 1 "Sti" "VC" 6 11 36 41
"376" 1 378 3780 42.2711681361069 44.3510852531606 -0.905428912708571 7.85127092411989 2.46096056596291 4.32342569246501 497.136363636364 2 "Sti" "VC" 6 11 36 41
"377" 1 379 3790 66.5713360208952 45.4710979540184 -4.7078609309523 40.8234054857081 2.99514854612555 45.3983935859417 444.444444444444 2 "Sti" "VC" 6 11 36 41
"378" 1 380 3800.11111111111 112.187433372765 73.5084239002611 -6.08931917924265 52.8024828328644 1.02270043664844 53.5952640025047 512.722222222222 2 "Sti" "VC" 6 11 36 41
"379" 1 381 3810 176.623095378502 84.626127773916 -7.73148524846254 67.0422431617819 1.07093884240717 62.8095071644389 484.555555555556 2 "Sti" "VC" 6 11 36 41
"380" 1 382 3820.3 246.189350677099 83.0239026592715 -7.77124660433477 67.3870269133073 -1.87200954297441 62.9167536792835 504.25 2 "Sti" "VC" 6 11 36 41
"381" 1 383 3830 301.509841757162 78.3841565381837 -5.38850620193846 46.7255037628076 -2.15816486330186 45.4666561505443 503.388888888889 2 "Sti" "VC" 6 11 36 41
"382" 1 384 3839.8 338.220854170782 90.1638254007861 -3.67945795713511 31.9057861637722 1.21638437213818 32.804016597449 503.4 2 "Sti" "VC" 6 11 36 41
"676" 1 678 6780 347.52310960803 55.2626145523409 -0.26765972311167 4.0397201468528 0.830551615716388 2.86070017518949 329.545454545455 3 "Sti" "VC" 6 11 36 41
"677" 1 679 6790 349.703904435632 36.9422321220996 -1.42137209101743 13.0650468077965 4.12475878549185 13.3945884143104 334.277777777778 3 "Sti" "VC" 6 11 36 41
"678" 1 680 6800 377.504401880344 42.6506667774346 -2.28915706576426 21.9206461059546 -3.52194037420918 22.1778219395919 340.409090909091 3 "Sti" "VC" 6 11 36 41
"679" 1 681 6810 384.216012318576 46.9759793368848 -0.718395303086161 6.22944118083416 0.294860116044049 6.75685971998956 364.055555555556 3 "Sti" "VC" 6 11 36 41
"680" 1 682 6820 384.040374135763 49.9774701324304 0.624021521233139 5.4110951803234 -1.22781730467841 6.59854089862944 359.363636363636 3 "Sti" "VC" 6 11 36 41
"681" 1 683 6830 383.046311198058 37.8257830605084 -0.158353899835819 2.28006964820526 0.965959945208056 2.6173377348349 329.666666666667 3 "Sti" "VC" 6 11 36 41
"682" 1 684 6840 385.059822408094 43.7655989443932 -0.349004020056517 3.04320820835346 -0.477721014892268 2.78743876446555 311.954545454545 3 "Sti" "VC" 6 11 36 41
"976" 1 978 9780 43.2745000889085 31.8734830652126 -0.559390970377117 5.01541736405219 2.35236714450389 5.85666413320464 533 4 "Sti" "VC" 6 11 36 41
"977" 1 979 9790 72.0235111534965 37.1697893867597 -7.58764009695963 65.7949146970966 6.13437873127175 59.2787006775749 369.222222222222 4 "Sti" "VC" 6 11 36 41
"978" 1 980 9800 152.895157093936 30.5134526708008 -7.96266065303757 69.0468408798755 -2.59835842153403 67.3182468537962 326.863636363636 4 "Sti" "VC" 6 11 36 41
"979" 1 981 9810 209.930950593749 30.7762554834438 -7.24655233545688 62.8372309000898 2.56257459177991 61.6505687904621 297.166666666667 4 "Sti" "VC" 6 11 36 41
"980" 1 982 9820 291.879105125685 27.7264440696892 -10.12330765739 87.7825193682202 -1.02778740504806 87.217339190065 296.545454545455 4 "Sti" "VC" 6 11 36 41
"981" 1 983 9830 364.039824241551 28.8472223935993 -4.32525819389835 37.5057317260595 -7.24207554200251 37.5757309237699 291.111111111111 4 "Sti" "VC" 6 11 36 41
"982" 1 984 9840 369.974341722491 31.1850117033367 -0.46729899463583 9.19462031879459 -0.302028878032388 9.06035518866759 306.409090909091 4 "Sti" "VC" 6 11 36 41
"1276" 1 1278 12780 259.49072459831 85.924999115662 0.107674045632309 3.37139626379667 1.50620589577989 4.54610868637445 485.409090909091 5 "Sti" "VC" 6 11 36 41
"1277" 1 1279 12790 271.790051436306 89.900074021719 -5.54842033790921 48.1121716596246 8.99478206593415 42.8505168808048 399.055555555556 5 "Sti" "VC" 6 11 36 41
"1278" 1 1280 12800.6666666667 354.31654246445 66.3127202116756 -8.13800923778785 70.5673459418544 -7.49429274588033 67.4501178221547 455.055555555556 5 "Sti" "VC" 6 11 36 41
"1279" 1 1281 12810 382.143455754423 79.4900324162977 0.425412750627032 11.3723699836301 -3.90347252328553 10.4553256810898 390.888888888889 5 "Sti" "VC" 6 11 36 41
"1280" 1 1282 12820 364.854736917452 90.5826049229707 1.82729538350287 16.4407850094203 1.66230665121265 15.9735290268284 366.727272727273 5 "Sti" "VC" 6 11 36 41
"1281" 1 1283 12830 367.623306257667 68.1186548701371 -2.39286005057553 20.749273937333 1.85902904025755 18.2373967232093 420.888888888889 5 "Sti" "VC" 6 11 36 41
"1282" 1 1284 12840 386.093754173987 77.1440351026947 -0.27797116554772 9.00562116466364 -3.0376814651915 10.4187350967252 465.363636363636 5 "Sti" "VC" 6 11 36 41
"1576" 1 1578 15780 41.3432896484917 52.4054860867353 -2.14930830786595 18.8209492143693 6.06938878719947 10.2742638681903 482.954545454545 6 "Sti" "VC" 6 11 36 41
"1577" 1 1579 15790 95.0695868005073 43.4464299116774 -10.5183005164183 91.2076319372966 7.46090733514424 82.2623480826054 494.6875 6 "Sti" "VC" 6 11 36 41
"1578" 1 1580 15801.125 204.671185020235 53.9011761082262 -9.198897662426 79.7666572573942 -7.54730566537714 78.7167954227593 454.3125 6 "Sti" "VC" 6 11 36 41
"1579" 1 1581 15809.625 243.502876294443 51.1218252849444 -2.66777693207092 23.1331683413426 -3.11487057756474 20.7353499862951 502.625 6 "Sti" "VC" 6 11 36 41
"1580" 1 1582 15820 286.185692411267 55.1703219303405 -8.55383922199612 74.1731440542927 4.96715815001809 74.9961724766086 496.818181818182 6 "Sti" "VC" 6 11 36 41
"1581" 1 1583 15830.25 350.331762130055 55.0922890913989 -4.22982236788883 36.6781763925034 -5.49501223076726 34.7137441893953 519.75 6 "Sti" "VC" 6 11 36 41
"1582" 1 1584 15840 374.548639076014 52.5352747825785 -1.48183436295614 12.8494715432 -2.26910645781396 14.1202565111895 513.954545454545 6 "Sti" "VC" 6 11 36 41
"1876" 1 1878 18780 373.760458726891 88.8893008394312 0.00545696113128852 1.42111326063537 -0.198445798926059 1.42875642087211 412.090909090909 7 "Sti" "VC" 6 11 36 41
"1877" 1 1879 18790 378.304681572886 85.9777238591133 -1.11441916091505 9.66349387849806 1.74782105971349 6.53194065955205 351.777777777778 7 "Sti" "VC" 6 11 36 41
"1878" 1 1880 18800 384.395220374937 60.9404350275015 -0.266870866190806 4.88577388447823 -1.99577858055409 5.48796583582367 306.545454545455 7 "Sti" "VC" 6 11 36 41
"1879" 1 1881 18810 383.787374467638 44.7025231073006 -0.0679951378484703 3.59526663318456 0.86575864255741 3.73691613616666 327.277777777778 7 "Sti" "VC" 6 11 36 41
"1880" 1 1882 18820 386.855939472917 44.6519801852779 0.478801137309918 8.02745105274613 -1.7101471657835 5.75643093403153 294.090909090909 7 "Sti" "VC" 6 11 36 41
"1881" 1 1883 18830 381.539468510399 68.1762978615004 -0.100095451837056 2.69959695891077 2.54241594253273 2.86291692966921 412.555555555556 7 "Sti" "VC" 6 11 36 41
"1882" 1 1884 18840 386.135035913394 64.8567619767308 -0.745131165168079 6.54088318910971 -1.15717960966651 4.66828855804494 393.909090909091 7 "Sti" "VC" 6 11 36 41
"2176" 1 2178 21780 35.7082615493482 60.2204023101277 0.284169446225973 2.54145891923621 0.092715267717189 9.94958046832636 499.681818181818 8 "Sti" "VC" 6 11 36 41
"2177" 1 2179 21790 47.3490947072784 56.1396838263518 -6.20987778134442 53.8478859937847 9.58492347115854 47.3782449996395 480.055555555556 8 "Sti" "VC" 6 11 36 41
"2178" 1 2180 21800.5 136.298867270333 74.0005931371415 -9.45272511230793 81.9676782862455 -3.10465450602324 74.6482875777474 489.65 8 "Sti" "VC" 6 11 36 41
"2179" 1 2181 21810 193.67783781457 83.888997005967 -5.21704869978948 45.2387395536578 -2.0935842661458 45.6052628803592 487.722222222222 8 "Sti" "VC" 6 11 36 41
"2180" 1 2182 21820.3333333333 243.932537644223 86.1558991696883 -6.38865155907778 55.398092026983 1.73301358510682 51.8331378330941 512.388888888889 8 "Sti" "VC" 6 11 36 41
"2181" 1 2183 21830.1428571429 292.015252374903 84.5910786337198 -4.7486567932235 41.1771597813558 0.152965520860334 38.0343853329214 512.642857142857 8 "Sti" "VC" 6 11 36 41
"2182" 1 2184 21839.7 348.185138684866 82.9061330886431 -6.80704102789239 59.0260842695053 -3.9449332261737 59.4528852112919 462.5 8 "Sti" "VC" 6 11 36 41
"2476" 1 2478 24780 330.843980675944 36.7915834556913 -2.10991753975166 18.2957866704161 -1.58199077265886 17.3145833438479 424.681818181818 9 "Sti" "VC" 6 11 36 41
"2477" 1 2479 24790 341.710235708634 36.3444734425551 -3.01067720940831 26.1065690573392 4.06195941116522 25.8858541443088 277.277777777778 9 "Sti" "VC" 6 11 36 41
"2478" 1 2480 24800 380.523128959167 31.8373037087137 -1.96775667841344 21.7760952483092 -5.59985721817492 21.6484775795354 242.636363636364 9 "Sti" "VC" 6 11 36 41
"2479" 1 2481 24810 372.33762564381 31.2628431491098 1.02476658512662 11.2798690359598 2.00347850598075 11.3725239407518 364.388888888889 9 "Sti" "VC" 6 11 36 41
"2480" 1 2482 24820 380.224335174945 32.2532437734036 -1.45164866826631 14.9184496811618 -1.72016687094185 15.074488745568 331.5 9 "Sti" "VC" 6 11 36 41
"2481" 1 2483 24830 377.640749721883 40.0895539568883 0.908666937010808 8.78426859731235 1.24727340753054 8.1368549777996 417.722222222222 9 "Sti" "VC" 6 11 36 41
"2482" 1 2484 24840 375.181233621863 48.4775364130069 0.0302817548812112 3.17387279012672 -0.650018537503229 2.91801514297526 479.409090909091 9 "Sti" "VC" 6 11 36 41
"2776" 1 2778 27780 64.0947977324542 30.2525359161409 -0.234832097061214 3.4175971339315 -1.23929393805124 6.38286738167352 464.681818181818 10 "Sti" "VC" 6 11 36 41
"2777" 1 2779 27790 60.9497525744781 31.8677777627937 -0.498293589338831 11.1452456890985 3.85302418200072 10.9260500357637 456.833333333333 10 "Sti" "VC" 6 11 36 41
"2778" 1 2780 27800.3 91.3659943669879 34.4922105261722 -4.34161530174269 37.6475695704429 -2.32611988138667 35.6212300812634 442.6 10 "Sti" "VC" 6 11 36 41
"2779" 1 2781 27809.625 116.894290485745 38.1897883208109 -5.04636867228469 43.7587170820233 7.00599288273214 43.7452100621821 468.6875 10 "Sti" "VC" 6 11 36 41
"2780" 1 2782 27820.4 195.708062241748 38.1444577107484 -9.90852982813714 85.9201104012761 0.825010439609116 85.6168556759096 469.85 10 "Sti" "VC" 6 11 36 41
"2781" 1 2783 27830 276.425397229327 67.9505504088458 -9.08704784218078 78.7967707989065 -2.4474286760553 82.2981573235968 473.555555555556 10 "Sti" "VC" 6 11 36 41
"2782" 1 2784 27840 338.222482093311 71.1797199898304 -4.76819023986311 41.3465407007155 -3.21606113475104 39.9357570463473 508.409090909091 10 "Sti" "VC" 6 11 36 41
"4238" 2 72 720 58.0200414960616 222.334817316749 5.38878057640878 46.7278829537865 0.377483494409447 11.065176561838 275.727272727273 1 "Sti" "VC" 6 11 36 47
"4239" 2 73 730 20.1518067253506 220.41476880595 2.43704265692676 21.1323958011572 3.91850861120365 6.02059579918463 230.777777777778 1 "Sti" "VC" 6 11 36 47
"4240" 2 74 740 23.0190369782957 214.868996949638 -5.24579684385308 45.488024135187 9.80579099895838 9.05447835785424 284.090909090909 1 "Sti" "VC" 6 11 36 47
"4241" 2 75 750 113.524810249894 217.315322337029 -11.3327747051685 98.2702046327624 -1.02727138562118 51.2447014044708 302.222222222222 1 "Sti" "VC" 6 11 36 47
"4242" 2 76 760 199.029963606472 224.883650010318 -9.18735642909116 79.6665794396457 -2.31945070001038 53.9637694192893 250.863636363636 1 "Sti" "VC" 6 11 36 47
"4243" 2 77 770 261.477249085673 222.889236566574 -5.35295211718269 46.4172026383807 -0.677494723011677 33.7950679496757 258.222222222222 1 "Sti" "VC" 6 11 36 47
"4244" 2 78 780 315.235249901617 222.344574509208 -6.74856556033063 58.5190243205707 -0.749171695812493 49.2567720089548 321.5 1 "Sti" "VC" 6 11 36 47
"4245" 2 79 790 363.940125255189 225.379763657706 -3.53722131591116 30.6724056190254 -4.23069078033893 25.5475362606822 268.944444444444 1 "Sti" "VC" 6 11 36 47
"4541" 2 378 3780 386.950761075283 169.025949141739 -0.6933885663404 7.41047892778158 -2.44599834267996 11.1278394041468 323.727272727273 2 "Sti" "VC" 6 11 36 47
"4542" 2 379 3790 386.113379157029 178.578740341892 0.194063247609254 1.7171454263497 0.270304599607584 2.46274894948056 365 2 "Sti" "VC" 6 11 36 47
"4543" 2 380 3800 383.68872205493 194.879273437038 0.513715359605374 4.45459429175713 -0.00218328465848572 5.59623537889314 349.045454545455 2 "Sti" "VC" 6 11 36 47
"4544" 2 381 3810 383.25576268285 198.323821693192 -0.627744382831882 5.44337733369235 0.732897971445027 4.77989588405319 337.5 2 "Sti" "VC" 6 11 36 47
"4545" 2 382 3820 386.726992645009 204.241717528916 0.148304994529569 2.12135546509359 -1.04761601412287 2.6669902264988 209.045454545455 2 "Sti" "VC" 6 11 36 47
"4546" 2 383 3830 383.428053783479 206.693455595736 0.437166983234224 3.79081822578911 -0.0698644857836257 3.13570187955645 220.777777777778 2 "Sti" "VC" 6 11 36 47
"4547" 2 384 3840 378.640715972844 206.662879132331 0.683524735275503 5.92706705591212 0.0820420859083697 5.01667269189358 288.954545454545 2 "Sti" "VC" 6 11 36 47
"4841" 2 678 6780 26.1727520144926 168.063009298777 -0.641058018948605 5.55882423700013 1.10558755256883 9.82933676863786 354.863636363636 3 "Sti" "VC" 6 11 36 47
"4842" 2 679 6790 45.3692403024197 172.663528880658 -6.50737669556019 56.4275966064624 8.55374060841713 15.0386847856652 451.444444444444 3 "Sti" "VC" 6 11 36 47
"4843" 2 680 6800.3 136.490551435638 166.522941481382 -9.89947318482596 85.8415772781329 -4.20474613300178 45.2531174632693 476.5 3 "Sti" "VC" 6 11 36 47
"4844" 2 681 6809.75 194.004651711663 161.289313790689 -5.69546293466579 49.3872262203062 1.18267392995955 39.2396204526634 499.1875 3 "Sti" "VC" 6 11 36 47
"4845" 2 682 6819.7 256.071181109498 167.127593175638 -6.91247241333308 59.9403143756811 -2.96633454299354 56.318621455841 490.2 3 "Sti" "VC" 6 11 36 47
"4846" 2 683 6829.875 301.030006511142 173.77390327107 -4.03686366413395 35.0049682156024 -0.141684754127255 28.2371191152038 500.8125 3 "Sti" "VC" 6 11 36 47
"4847" 2 684 6839.8 334.509680920714 172.327801823082 -4.95192675791074 42.939780282088 0.962927085335082 40.8285468287831 500.9 3 "Sti" "VC" 6 11 36 47
"5141" 2 978 9780 192.264746647181 150.21540137649 5.41329738624922 46.9404762491305 2.37565445275169 38.4566102645207 326.136363636364 4 "Sti" "VC" 6 11 36 47
"5142" 2 979 9790 171.549004484466 152.710044807459 -2.24770127495 24.2984829176101 8.75999620128343 19.4240218640604 319.944444444444 4 "Sti" "VC" 6 11 36 47
"5143" 2 980 9800 223.449969186784 150.252443053475 -6.24242452131614 54.130109445707 -2.89145262619607 43.2320353232914 323.636363636364 4 "Sti" "VC" 6 11 36 47
