"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "expe" "plong" "day"
"68" 1 67 670 227.584351154785 30.514062173651 226.349268842939 30.5130668967487 0.256654278859068 6.02453111581735 -2.7631595062891 6.15347069183218 313.388888888889 1 "Sti" "CT" 1 4 39 NA
"69" 1 68 680 229.397925140861 29.5735067615567 235.022531712736 30.2625819711539 -4.40056234527363 40.2173097741136 9.50859217617989 40.5824079108539 406.136363636364 1 "Sti" "CT" 1 4 39 NA
"70" 1 69 690 314.945999083959 34.4896407728971 319.454088574424 33.1392216943502 -11.4028275699719 99.697244200976 -0.42806326326243 98.8864160866917 383.777777777778 1 "Sti" "CT" 1 4 39 NA
"71" 1 70 700 384.961651783752 31.3988814606398 383.268406887137 32.092471445179 -2.97622179184689 26.0217133826883 -8.23535248193872 26.2209102833972 277.772727272727 1 "Sti" "CT" 1 4 39 NA
"72" 1 71 710 387.632999932858 35.2300499134531 389.334639915514 37.1535527876405 -0.540631762098481 5.27164926804323 0.979369932211625 5.76083765460413 317.666666666667 1 "Sti" "CT" 1 4 39 NA
"73" 1 72 720 398.052253664481 42.762362276307 397.466819723738 43.0664541180249 -0.763469542128703 6.67516972562623 -0.912679298106809 7.0950102652983 296.181818181818 1 "Sti" "CT" 1 4 39 NA
"74" 1 73 730 399.783357215237 55.9529165929265 399.528347150305 54.8683157361303 -0.0101503883735947 1.13104834148783 -0.134844938840445 1.91480508754546 433.055555555556 1 "Sti" "CT" 1 4 39 NA
"75" 1 74 740 399.762109161605 51.8456311162885 399.812921151283 51.1517554306152 -0.108498900054668 1.74068654521488 0.102762561253996 1.36373292187977 302.045454545455 1 "Sti" "CT" 1 4 39 NA
"368" 1 367 3670 310.369047761174 96.3331465012901 314.634790398431 96.964988274652 -7.45358422797371 65.1682052007622 1.32051687640444 63.3943617960921 290.444444444444 2 "Sti" "CT" 1 4 39 NA
"369" 1 368 3680 377.173454759536 96.8982763436813 375.747067640246 96.5359499345373 -4.580159481977 40.2841022928408 -7.78420309814265 37.884556708792 297.318181818182 2 "Sti" "CT" 1 4 39 NA
"370" 1 369 3690 383.627945707533 92.2235513358875 383.548761209085 92.1162094649311 0.378520282730238 3.30947993651648 0.0728063846118516 3.97238020628225 263.444444444444 2 "Sti" "CT" 1 4 39 NA
"371" 1 370 3700 388.603449681565 91.5634793734568 388.564730771668 90.5660498446124 -1.09780572846238 10.454362413085 -0.381400556065216 9.97477018614597 299.272727272727 2 "Sti" "CT" 1 4 39 NA
"372" 1 371 3710 387.574662900993 77.7889495823854 388.594704781228 78.5854369426231 0.334737945032676 6.57275584323293 1.44223045350969 8.62305923455119 460.666666666667 2 "Sti" "CT" 1 4 39 NA
"373" 1 372 3720 396.014526672371 89.9565841570476 396.032083352795 89.4087859504538 -1.16158704108565 10.5615916075145 -1.21701854646312 14.8897981818262 239.909090909091 2 "Sti" "CT" 1 4 39 NA
"374" 1 373 3730 398.859723794053 82.3976265240286 398.429729515422 81.3755381575817 0.240815778361366 2.10550140440301 -0.43712783392624 6.1564531671126 303.611111111111 2 "Sti" "CT" 1 4 39 NA
"375" 1 374 3740 392.966619083953 56.1897536769487 392.957806751171 56.3434148839304 0.674497245157057 5.91181636257795 0.647202356418745 9.23973953572238 366.454545454545 2 "Sti" "CT" 1 4 39 NA
"668" 1 667 6670 396.932606174023 44.7788316121875 396.594737165131 44.7791184487625 0.251006096197948 2.42813747021205 -0.48128502686933 2.55676556452812 329.611111111111 3 "Sti" "CT" 1 4 39 NA
"669" 1 668 6680 395.111554471996 41.9541296677524 395.072415704754 41.2328387090698 0.0356047884464951 1.04176528683809 0.0862229216180594 1.04226567365316 289.227272727273 3 "Sti" "CT" 1 4 39 NA
"670" 1 669 6690 393.603680505429 40.5605811074839 393.390961316089 40.5311492021071 0.341595206029152 2.98663646927838 -0.17425973779757 2.80602910639152 268 3 "Sti" "CT" 1 4 39 NA
"671" 1 670 6700 393.618877201239 46.245697261365 393.718542216643 47.3170252748579 -0.471162612436411 4.78596166265811 1.05069786466441 6.45194861693733 339.545454545455 3 "Sti" "CT" 1 4 39 NA
"672" 1 671 6710 397.271742406335 62.3846979638522 398.064080061462 65.1436878409312 -0.515807337861489 4.5100086791457 -0.244570085246664 7.85960900053999 338.222222222222 3 "Sti" "CT" 1 4 39 NA
"673" 1 672 6720.4 400.582683662004 88.1408749886029 399.960993178605 86.9207828075053 0.315124527337366 4.14022858703112 -0.965739520439058 4.69234489883979 264.1 3 "Sti" "CT" 1 4 39 NA
"674" 1 673 6730 395.612045074887 90.4302892889644 395.46758818061 90.5613049517535 0.429692475417835 3.75688884096309 0.528629963221363 3.56430077444298 285.722222222222 3 "Sti" "CT" 1 4 39 NA
"675" 1 674 6740 396.227215547675 87.9163024946465 396.443380324501 88.2020116689493 -0.453144077155582 4.22285530168369 -0.119157252899413 2.95628956997501 299.590909090909 3 "Sti" "CT" 1 4 39 NA
"967" 1 967 9670 158.049055910913 88.416112257234 156.15111941981 89.2102891156773 1.33579348487611 11.6791145394909 -1.76838897131398 13.5517995362804 383.6875 4 "Sti" "CT" 1 4 39 NA
"968" 1 968 9679.7 136.079095333407 71.9160700908218 135.751155401496 70.7806132309564 2.57603535808863 22.5228018743375 1.62826799507584 31.7343087521958 476.85 4 "Sti" "CT" 1 4 39 NA
"969" 1 969 9690 133.971457863503 73.4046953595649 140.896229399324 75.7789941687817 -4.39230338349157 39.4855189703908 8.37601980223167 46.8764944767206 447.722222222222 4 "Sti" "CT" 1 4 39 NA
"970" 1 970 9700 218.606570431308 97.7616970552784 221.014314424087 97.9282227190463 -10.7533335191513 94.0185854126709 -2.64715781877965 91.2742972948067 355.590909090909 4 "Sti" "CT" 1 4 39 NA
"971" 1 971 9710 276.92003668732 101.930354127988 278.747904090478 102.033871420699 -3.73537397645259 32.6591355720449 -1.84207409517796 30.4863850240044 207.444444444444 4 "Sti" "CT" 1 4 39 NA
"972" 1 972 9720 306.938115076029 99.9976929517266 306.460703122351 98.7171012866494 -2.41723937095382 21.134416212065 -2.70424512806392 17.2369618494156 316.636363636364 4 "Sti" "CT" 1 4 39 NA
